old.word,new.word
glareinspection,glare inspection
wdfw,fwd
hpa,hap
david,David
broecker,broker
sdot,sot
se,SE
dan,Dan
richardson,Richardson
ecagrading,eradicating
eca,ace
arborist,arborvitae
srw,sew
shorelineconstruction,shoreline construction
js,dis
trane,trance
xl,XL
ecaat,eclat
jim,Jim
olsen,Olsen
hbmc,ICBM
ben,Ben
weber,Weber
george,George
wallace,Wallace
pavers,pacers
betty,Betty
adulu,adult
adu,adieu
perkins,Perkins
ln,Ln
revegetation,re vegetation
violationsopen,violations open
bridgevacant,bridge vacant
violationsvacant,violations vacant
violationsgrading,violations grading
evnironmentally,environmentally
douglas,Douglas
convserion,conversion
annette,Annette
didn,did
steve,Steve
wescott,Scott
storagetwo,storage two
inop,in op
landslipe,landslip
sfr,sf
geotechnical,nontechnical
ns,NS
th,ht
sw,SW
ecapermit,permit
ames,mes
ej,egg
rv,RV
bradrick,brad rick
acurately,accurately
nd,ND
gl,lg
greenbuild,green build
joe,Joe
eckhoff,checkoff
strikeplate,strike plate
applicaiton,application
occ,ok
violationthe,violation the
lu,loo
recvd,recd
landmarktrees,landmark trees
cutrear,cut rear
alki,alkali
sampson,Sampson
hydroseeding,hydro seeding
rf,RF
coverd,covers
bldinghbmcminor,boardinghouse
seattle,Seattle
celtic,Celtic
irish,Irish
agove,agave
establishmentbar,establishment bar
toal,tonal
mup,ump
stfi,sift
ecareplanting,replanting
viewmont,viewpoint
casebuilding,case building
gh,f
chp,tip
christine,Christine
bruno,Bruno
construciton,construction
lr,Lr
unpermitted,permitted
mcbride,McBride
seth,Seth
amrhein,Rheingau
dipslacement,displacement
dpd,dd
variancepermit,variance permit
heightpermits,height permits
encroching,encroaching
tesc,test
stormwater,storm water
csc,cs
moore,Moore
upslope,up slope
unallowed,unhallowed
saigon,Saigon
tim,chm
blevins,Blevins
bsmt,smut
el,e
chupacabra,abracadabra
complaiant,complaint
dg,d
nc,NC
dba,dab
insp,nips
chupacabara,Copacabana
thai,Thai
jerry,Jerry
finley,finely
julie,Julie
wiebusch,Busch
wisit,wist
justin,Justin
greenbusch,greenhouse
swo,sow
violationsverified,violations verified
moeller,modeler
severly,severely
pre,per
geotech,biotech
md,MD
eric,Eric
jenkins,Jenkins
northside,north side
nw,NW
permitoutdoor,permit outdoor
kb,KB
existsvegetation,exists vegetation
finaled,finales
pts,pt
bc,BC
cmu,cum
ballard,Ballard
paddleboard,paddle board
scott,Scott
stevens,Stevens
violationillegal,violation illegal
sp,tip
completedgrading,completed grading
violationlow,violation low
fackler,fickler
beamsowner,beams owner
onethe,one the
ecajr,cajoler
ord,rod
rebar,rear
violationsas,violations as
sfz,sf
moorage,moo rage
proj,pro
accomodate,accommodate
reclocation,relocation
dadugarage,disparage
lumsden,lumen
jill,Jill
vanneman,vanned
violationsovergrown,violations overgrown
inops,in ops
hom,ohm
bnr,bar
cb,CB
dw,d
matt,Matt
recker,wrecker
pritchard,Richard
sideyard,side yard
roxanne,Roxanne
kennedy,Kennedy
bmps,bps
managment,management
gradingneed,grading need
sepa,sea
repalnting,replanting
req,re
acu,ac
violationoutoor,autocorrelation
trailerland,trailer land
violationlight,violation light
anderson,Anderson
hobart,Hobart
occupany,occupant
veh,veg
unoperable,inoperable
proeprty,property
johnson,Johnson
knable,enable
sidewalkvegetation,sidewalk vegetation
wallroof,wall roof
kowalski,Malinowski
bg,bf
storagelu,storage
resovedpermit,permitted
nov,Nov
closedpossible,closed possible
storagerevegetation,preregistration
guttersvegetation,gutters vegetation
picsviolation,pics violation
limtied,limited
violationsviolation,violations violation
definate,definite
violationunpermitted,predetermination
waterward,water ward
lois,soil
decidulous,deciduous
existsobserved,exists observed
eo,e
tv,TV
materialspermit,materials permit
october,October
entryrear,entry rear
hzw,hew
overgrownapplication,overgrown application
ada,Ada
permitecology,permit ecology
vegetationmore,vegetation more
propertyoutdoor,property outdoor
pernit,permit
rowvery,row very
leakinspection,leak inspection
weathertight,weather tight
slopebuildings,slope buildings
smc,sec
equired,required
rentalproperty,rental property
encroahcing,encroaching
sr,cir
trashbags,trash bags
violationsvegetation,violations vegetation
marshall,Marshall
ands,and
ecaconstruction,Reconstruction
greg,Greg
bentler,gentler
occuppied,occupied
pscaa,upscale
patrick,Patrick
violationsjunk,violations junk
requred,required
ecainspector,inspectorate
flowr,flow
storageside,storage side
temporarypermit,temporary permit
wallpermits,wall permits
standardsoutdoor,standards outdoor
violationsoutdoor,violations outdoor
eoopen,reopen
windowspermit,windows permit
vehiclesobserved,vehicles observed
transfering,transferring
const,cons
ss,SS
codeobserved,code observed
undestands,understands
enchroching,encroaching
michelle,Michelle
macias,Macias
violationparking,violation parking
hbmcobserved,observed
coveringsbedroom,coverings bedroom
coveringhallway,covering hallway
violationlitter,violation litter
repeatlu,repeat
pking,ping
zoneviolation,zone violation
stg,st
storageobserved,storage observed
danni,Dannie
complinace,compliance
ordinace,ordinance
mr,rm
sdci,sci
victoria,Victoria
simpson,Simpson
sidewalkweeds,sidewalk weeds
sept,pest
shawn,Shawn
rowtrees,row trees
violationverified,violation verified
harvey,Harvey
rowe,wore
heightweedsi,lightweight
bainbridge,unabridged
fauntleroy,Fauntleroy
fontanelle,fontanel
bergum,begum
residenceopen,residence open
permitstfi,permitting
submittedsecond,submitted second
july,July
rollaway,roll away
partsviolation,parts violation
storageland,storage land
acc,ac
unitsat,unit sat
enviornmentally,environmentally
overwater,over water
requiredobserved,required observed
llc,ll
wallviolation,wall violation
steven,Steven
treehouse,tree house
unitlaurel,unit laurel
james,James
vic,Vic
delimbing,modeling
austin,Austin
propety,property
jamie,Jamie
hm,HM
santuary,sanctuary
pasv,pas
edms,eds
vehs,vets
inoplu,plugin
jeff,Jeff
krieg,Grieg
stefan,Stefan
gulassa,Lassa
casejunk,case junk
paula,Paula
tuq,tun
parker,Parker
duplexobserved,duplex observed
glenn,Glenn
takenobserve,taken observe
inpsected,inspected
storagekb,storage
violationobserved,violation observed
yardobserved,yard observed
overgrownas,overgrown as
photoswork,photos work
rehabiliation,rehabilitation
edmunds,Edmund
artowner,art owner
â,e
propert,proper
svegetation,vegetation
ecas,aces
bubles,bibles
ede,ed
courtenay,courtesan
ordobserved,observed
measres,measures
isn,sin
saturday,Saturday
matoon,maroon
backfill,back fill
lawton,law ton
zuidweg,midweek
lage,gale
gk,kg
kevin,Kevin
mcneal,McLean
gsi,gs
calucations,allocations
roxbury,Bradbury
georgia,Georgia
casey,Casey
pkingconstructing,constructing
deckdeck,deck deck
lans,labs
serveral,several
proepryt,proselyte
det,ted
borings,boring
requre,require
